Date,Price,Open,Vol.
4/5/2022,1927.5,1937.3,147.26
4/4/2022,1934,1927.1,108.44
4/1/2022,1923.7,1942.4,135.15
3/31/2022,1954,1937.3,155.3
3/30/2022,1939,1924,136.04
3/29/2022,1915.2,1924.3,2.43
3/28/2022,1942.3,1959.1,1.08
3/25/2022,1956.9,1962.3,0.63
3/24/2022,1964.9,1947.4,1.14
3/23/2022,1940.2,1924,0.81
3/22/2022,1924.4,1938.7,1.17
3/21/2022,1932.5,1922.7,0.64
3/18/2022,1931.7,1945.7,0.26
3/17/2022,1946,1930.6,0.42
3/16/2022,1911.9,1922.7,0.38
3/15/2022,1932.6,1958.8,0.53
3/14/2022,1963.4,1985.6,0.19
3/11/2022,1987.6,2004.1,0.73
3/10/2022,2002.9,2000.2,1.3
3/9/2022,1990.7,2054.8,0.61
3/8/2022,2046.3,2004.3,1.59
3/7/2022,1998.7,1984.3,1.25
3/4/2022,1968.9,1944.3,0.79
3/3/2022,1938.1,1933,0.99
3/2/2022,1924.6,1947.2,0.66
3/1/2022,1945.3,1909,0.04
2/28/2022,1902.2,1913,0.04
2/25/2022,1889.2,1889.2,229.78
2/24/2022,1926.3,1911.9,423.05
2/23/2022,1910.4,1901.2,154.84
2/22/2022,1907.4,1903.5,334.59
2/21/2022,1907.4,1903.5,334.59
2/18/2022,1899.8,1901.4,161.75
2/17/2022,1902,1872,268.55
2/16/2022,1871.5,1855.5,141.49
2/15/2022,1856.2,1873.8,214.88
2/14/2022,1869.4,1862.2,231.02
2/11/2022,1842.1,1827,239.09
2/10/2022,1837.4,1834,227.46
2/9/2022,1836.6,1827,136.72
2/8/2022,1827.9,1821.5,142.41
2/7/2022,1821.8,1808,139.81
2/4/2022,1807.8,1805.4,177.71
2/3/2022,1804.1,1807.4,173.72
2/2/2022,1810.3,1800.8,123.02
2/1/2022,1801.5,1798.9,128.88
1/31/2022,1796.4,1792.8,139.42
1/28/2022,1786.6,1799.6,217.15
1/27/2022,1794.2,1820.3,2.18
1/26/2022,1831,1849.4,1.86
1/25/2022,1854.1,1845.2,0.81
1/24/2022,1843.4,1835.3,0.82
1/21/2022,1833.5,1841.6,0.55
1/20/2022,1844.3,1841.3,0.77
1/19/2022,1844.7,1814,0.38
1/18/2022,1814.1,1818.7,0.34
1/17/2022,1812.4,1818.7,362.94
1/14/2022,1818.3,1822.9,0.13
1/13/2022,1823.3,1827.8,0.11
1/12/2022,1829.1,1822.5,0.06
1/11/2022,1820.4,1802.2,0.35
1/10/2022,1800.7,1799.7,0.54
1/7/2022,1799.3,1792.6,2.26
1/6/2022,1791,1812.3,0.66
1/5/2022,1826.6,1821.9,0.6
1/4/2022,1815.8,1807.9,0.46
1/3/2022,1801.1,1826.8,0.02
12/31/2021,1829.7,1828.5,0.02
12/30/2021,1815.3,1815.3,113.43
12/29/2021,1805.8,1806.6,138.69
12/28/2021,1810.9,1812.1,100.54
12/27/2021,1808.8,1810.2,84.23
12/23/2021,1811.7,1805.6,104.84
12/22/2021,1802.2,1789.4,110.41
12/21/2021,1788.7,1791.4,134.15
12/20/2021,1794.6,1800.2,105.39
12/17/2021,1804.9,1801.5,156.61
12/16/2021,1798.2,1777.9,167.78
12/15/2021,1764.5,1771.9,161.1
12/14/2021,1772.3,1787.6,153.25
12/13/2021,1788.3,1784.2,106.06
12/10/2021,1784.8,1776.3,142
12/9/2021,1776.7,1784.3,123.97
12/8/2021,1785.5,1785.1,109.69
12/7/2021,1784.7,1779.5,129.89
12/6/2021,1779.5,1787.7,104.48
12/3/2021,1783.9,1769.4,175.18
12/2/2021,1762.7,1783.8,172.72
12/1/2021,1784.3,1777.4,180.34
11/30/2021,1776.5,1786.9,242.86
11/29/2021,1785.2,1795.2,151.37
11/26/2021,1786.9,1788.4,2.97
11/25/2021,1788.1,1792.3,180.64
11/24/2021,1785.6,1793.4,0.97
11/23/2021,1785.1,1810.4,1.86
11/22/2021,1807.7,1843,1.18
11/19/2021,1852.9,1864.2,0.54
11/18/2021,1862.7,1869.8,0.49
11/17/2021,1871.5,1852.7,0.24
11/16/2021,1855.4,1867,0.65
11/15/2021,1868,1870.1,0.24
11/12/2021,1869.7,1865.9,0.24
11/11/2021,1865.2,1855.5,0.19
11/10/2021,1849.5,1827.8,0.23
11/9/2021,1832,1828.3,0.14
11/8/2021,1829.2,1818.5,0.12
11/5/2021,1818,1792.9,0.1
11/4/2021,1794.7,1773,0.03
11/3/2021,1765.1,1777,0.13
11/2/2021,1790.6,1797.1,0.01
11/1/2021,1796.9,1785.5,0.03
10/29/2021,1784.9,1789.3,0.02
10/28/2021,1803.6,1803.6,220.88
10/27/2021,1798.8,1795,182.8
10/26/2021,1793.4,1808.7,197.93
10/25/2021,1806.8,1794.2,153.59
10/22/2021,1796.3,1783.7,312.81
10/21/2021,1781.9,1782.5,138.73
10/20/2021,1784.9,1769.4,174.08
10/19/2021,1770.5,1764.8,166.97
10/18/2021,1765.7,1767.5,152.74
10/15/2021,1768.3,1797.3,202.63
10/14/2021,1797.9,1793.6,164.65
10/13/2021,1794.7,1760.4,299.04
